errorcode,failurereason,additionaldetails,appdisplayname,resourcedisplayname,ipaddress,asn,operatingsystem,browser
90014,The required field '{name}' is missing from the credential. Ensure that you have all the necessary parameters for the login request.,Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.,OfficeHome,OfficeHome,108.213.206[.]184,At&T Enterprises  Llc,Windows10,Mobile Safari 26.5.2
90014,The required field '{name}' is missing from the credential. Ensure that you have all the necessary parameters for the login request.,Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.,OfficeHome,OfficeHome,47.33.99[.]135,Charter Communications Llc,Windows10,Mobile Safari 26.5.2
50140,This occurred due to 'Keep me signed in' interrupt when the user was signing in.,"This is an expected part of the login flow, where a user is asked if they want to remain signed into this browser to make further logins easier. For more details, see [https://techcommunity.microsoft[.]com/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267](https://techcommunity.microsoft%5B.%5Dcom/t5/microsoft-entra/the-new-azure-ad-sign-in-and-keep-me-signed-in-experiences/td-p/128267)",OfficeHome,OfficeHome,70.95.36[.]14,Verizon Business,Windows10,Firefox 151.0
